#Detrending for the temperature dependent PSF, observed in BRITE photometry, done on 2016-03-21 15:16:1458569799.
#This file contains the corrected flux and the correction which has been applied in order to deduce it.
#The adopted technique is to:
#1. split the observations in smaller time bins, which have been selected according to the long term temperature variations and (possibly) too long gaps.
#2. perform 1D fits within each bin for flux vs xPOS and flux vs yPOS -- !!always both!! --.
#Now, on to the header for each columnn:
#----------------------------------------
#Column1: time measurements [d]
#Column2: original, uncorrected flux [adu]
#Column3: corrected flux [adu]
#Column4: derived correction, applied to the flux [adu]
#----------------------------------------
2.457057394581e+06 1.2669798e+05 1.2695223e+05 -2.5425053e+02
2.457057394816e+06 1.2514378e+05 1.2610703e+05 -9.6324667e+02
2.457057395051e+06 1.2448186e+05 1.2662322e+05 -2.1413615e+03
2.457057395286e+06 1.2471976e+05 1.2599381e+05 -1.2740475e+03
2.457057395521e+06 1.2507269e+05 1.2661837e+05 -1.5456889e+03
2.457057395757e+06 1.2578952e+05 1.2656831e+05 -7.7878560e+02
2.457057395992e+06 1.2651455e+05 1.2706069e+05 -5.4613592e+02
2.457057396227e+06 1.2566354e+05 1.2614343e+05 -4.7989201e+02
2.457057396462e+06 1.2588549e+05 1.2652087e+05 -6.3538225e+02
2.457057396697e+06 1.2439923e+05 1.2645051e+05 -2.0512830e+03
2.457057396932e+06 1.2477135e+05 1.2626411e+05 -1.4927609e+03
2.457057397168e+06 1.2558197e+05 1.2630224e+05 -7.2026921e+02
2.457057397403e+06 1.2608542e+05 1.2644767e+05 -3.6224706e+02
2.457057397638e+06 1.2778753e+05 1.2719119e+05 5.9633981e+02
2.457057397873e+06 1.2590880e+05 1.2641140e+05 -5.0260245e+02
2.457057398108e+06 1.2671501e+05 1.2662320e+05 9.1816190e+01
2.457057398343e+06 1.2613537e+05 1.2602766e+05 1.0771194e+02
2.457057398578e+06 1.2700303e+05 1.2598491e+05 1.0181224e+03
2.457057398814e+06 1.2790104e+05 1.2644947e+05 1.4515709e+03
2.457057399049e+06 1.2654380e+05 1.2571857e+05 8.2523243e+02
2.457057399284e+06 1.2562384e+05 1.2579204e+05 -1.6819863e+02
2.457057399519e+06 1.2615884e+05 1.2687351e+05 -7.1467018e+02
2.457057399754e+06 1.2732406e+05 1.2674807e+05 5.7598694e+02
2.457057399989e+06 1.2675657e+05 1.2653188e+05 2.2469255e+02
2.457057400225e+06 1.2670813e+05 1.2641911e+05 2.8901910e+02
2.457057400460e+06 1.2539738e+05 1.2599866e+05 -6.0127652e+02
2.457057400695e+06 1.2774976e+05 1.2678392e+05 9.6583527e+02
2.457057400930e+06 1.2821773e+05 1.2713166e+05 1.0860722e+03
2.457057401165e+06 1.2590996e+05 1.2647102e+05 -5.6106001e+02
2.457057401400e+06 1.2583251e+05 1.2638946e+05 -5.5694112e+02
2.457057401635e+06 1.2676568e+05 1.2610354e+05 6.6213784e+02
2.457057401871e+06 1.2742343e+05 1.2645778e+05 9.6564558e+02
2.457057460281e+06 1.2536193e+05 1.2610530e+05 -7.4336539e+02
2.457057460516e+06 1.2516211e+05 1.2653817e+05 -1.3760626e+03
2.457057460751e+06 1.2522945e+05 1.2715565e+05 -1.9261950e+03
2.457057460986e+06 1.2701075e+05 1.2613931e+05 8.7143842e+02
2.457057461221e+06 1.2598269e+05 1.2572049e+05 2.6219677e+02
2.457057461457e+06 1.2686764e+05 1.2650758e+05 3.6006269e+02
